,title,subtitle,link
49,PRIMED FOR A HUG,Watch Saka run over to hug Henry while Arsenal legend is working as pundit,https://www.thesun.co.uk/sport/20865576/saka-henry-wholesome-hug-arsenal-west-ham/
50,JOR KIDDING ME,Michael B. Jordan watches Chelsea loss after completing Bournemouth takeover,https://www.thesun.co.uk/sport/20872147/hollywood-a-lister-michael-b-jordan-chelsea-bournemouth/
51,'STIL NO ANSWER',Lingard slams Man Utd 'false promises' and questions 'political' axing,https://www.thesun.co.uk/sport/20866944/man-utd-jesse-lingard-transfer-exit-nottingham-forest/
52,WHAT THE ELL?,Cucurella wears odd boots after Chelsea ace has his savagely ripped up,https://www.thesun.co.uk/sport/20871739/marc-cucurella-odd-boots-chelsea-ripped-bournemouth-tackle/
53,SET THE TONE,Toney breaks silence & scores vs Spurs after England snub & betting charges,https://www.thesun.co.uk/sport/20864192/ivan-toney-england-betting-brentford-tottenham/
54,WHAT A MAR,Arsenal legend Martin Keown fires warning to Leicester boss Brendan Rodgers,https://www.thesun.co.uk/sport/football/20865007/keown-leicester-brendan-rodgers/
55,MONEY BACK,Premier League: Get up to £50 back as CASH if any of your first five bets lose,https://www.thesun.co.uk/sport/betting-tips/20003921/get-50-cash-back-football-bets-paddy-power/
56,BIG OFFER,Bet £5 on the Premier League and get £20 in free bets with Ladbrokes,https://www.thesun.co.uk/sport/betting-tips/19780272/ladbrokes-20-football-free-bets/
57,REVIEW,The best online casinos in the UK: Top 10 casino sites for January 2023,https://www.thesun.co.uk/betting/20803800/the-best-online-casinos-in-the-uk/
58,MESSI BEDROOM,Messi's Qatar hotel room to be turned into MUSEUM following World Cup triumph,https://www.thesun.co.uk/sport/20872017/lionel-messi-hotel-room-qatar-museum-argentina-world-cup/
59,BEN 'N GONE,Benzema’s agent slams Deschamps and shares PROOF star was fit to play World Cup,https://www.thesun.co.uk/sport/20867382/karim-benzema-france-didier-deschamps-injury-row-agent-proof/
60,NO BAE!,Salt Bae banned from ANOTHER top event after embarrassing World Cup antics,https://www.thesun.co.uk/sport/20867682/salt-bae-banned-event-world-cup-mbappe-messi/
61,'LOVE OF MY LIFE',"Devastated girlfriend of footballer, 23, pays tribute after club 'murder'",https://www.thesun.co.uk/news/20867814/tributes-cody-fisher-stabbed-nightclub/
62,WHY OH SKY,Fans fuming as Sky Sports glitch sees screens go black during EFL coverage,https://www.thesun.co.uk/sport/20869281/fans-sky-sports-football-screens-efl/
63,DEAN 'N GONE,Norwich sack Smith after loss to ten-man Luton extended horror run,https://www.thesun.co.uk/sport/20869046/dean-smith-sacked-norwich-championship/
64,PRAY FOR PELE,Pele's old rival says he’s ‘praying’ as 82-year-old’s condition worsens,https://www.thesun.co.uk/sport/20867397/pele-old-rival-romario-praying-for-footie-legend/
65,TIM VICKERY,Argentina's wild World Cup celebrations born from history & power of football,https://www.thesun.co.uk/sport/20861201/argentina-world-cup-celebrations-history/
66,KARREN BRADY,New Club World Cup even outranks European Super League for self-preening greed,https://www.thesun.co.uk/sport/20851451/club-world-cup-greed-infantino-stopped-brady/
67,PHIL THOMAS,Man Utd & Liverpool must spend big in January - the future of both depend on it,https://www.thesun.co.uk/sport/20843246/man-utd-liverpool-transfer-window-future-sale/
68,IZ'S ELF KICK,Izabel Goulart wows in bikini and Santa hat with footie fiancé Kevin Trapp,https://www.thesun.co.uk/sport/20866302/izabel-goulart-wows-bikini-santa-kevin-trapp/
69,WRIGHT STUFF,Madelene Wright wears barely-there thong by Christmas tree in racy post,https://www.thesun.co.uk/sport/20853959/onlyfans-charlton-madelene-wright-thong-christmas/
70,ON GUARD,Pep Guardiola's glamorous daughter Maria stuns in figure-hugging dress,https://www.thesun.co.uk/sport/20858933/pep-guardiola-maria-christmas-ibiza-manchester-city/
